合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,397.05,400.99,397.05,399.61,1.92,0.48%,397.76,58.00,"23,070,260.00",-,,
Au99.99,398.00,399.39,396.50,399.31,1.08,0.27%,397.75,"10,442.58","4,147,091,895.60",-,,
Au100g,398.60,399.30,397.50,398.82,-0.56,-0.14%,398.39,15.40,"6,135,292.00",-,,
iAu99.99,399.00,399.00,397.60,398.19,0.42,0.11%,398.19,0.86,"342,444.20",-,,
Au(T+D),398.43,399.10,396.01,399.04,1.48,0.37%,397.75,"15,334.00","6,099,237,320.00","145,558",空支付给多,"9,324"
Au(T+N1),397.95,398.95,397.95,398.55,0.80,0.20%,398.55,3.40,"1,355,130.00","71,666",空支付给多,
Au(T+N2),402.00,402.00,400.60,401.30,-0.45,-0.11%,401.30,0.40,"160,520.00","74,358",,
mAu(T+D),398.02,399.20,396.30,399.10,1.15,0.29%,398.02,"5,323.00","2,118,707,292.00","585,328",空支付给多,"28,820"
Pt99.95,214.39,214.63,213.50,213.78,-3.05,-1.41%,213.77,176.00,"37,624,240.00",-,,
Ag(T+D),"4,760","4,770","4,692","4,730",-3,-0.06%,"4,722","1,210,774.00","5,718,010,682.00","5,703,474",空支付给多,"24,510"
NYAuTN06,397.25,398.65,396.00,398.50,0.30,0.08%,397.40,269.20,"106,980,520.00","27,132",,
NYAuTN12,404.05,404.65,401.60,404.20,1.25,0.31%,403.15,56.00,"22,577,930.00","64,552",,
PGC30g,403.72,403.72,403.72,403.72,0.97,0.24%,403.72,0.06,"24,223.20",-,,
